,From,To,Time (min)
3781,Fiskeville,Shirley,541
3782,Forestdale,Big Bend National Park,865
3783,Foster,URB San Marcos,876
3784,Scituate,Eleven Mile Corner,193
3785,Glendale,E Swanzey,900
3786,Burrillville,Brazil,174
3787,Coventry,San Felipe Pb,536
3788,Greene,Woodland Hls,26
3789,Greenville,Oak Grove,686
3790,Smithfield,Bragg City,255
3791,Glocester,Fort Worth,523
3792,Harmony,Bank Of New York Brm,847
3793,Burrillville,Vienna,129
3794,Harrisville,Duboistown,709
3795,Hope,Vest,854
3796,Scituate,Guilderland Center,179
3797,Hope Valley,Kingfield,855
3798,Richmond,Partridge,25
3799,Hopkinton,Ipava,61
3800,Jamestown,Clay,685
3801,Richmond,Madigan Army Medical Center,927
3802,Kenyon,Morvin,544
3803,Little Compton,Fairville,881
3804,L Compton,Croswell,66
3805,Manville,South Saint Paul,120
3806,Lincoln,URB Sagrado Corazon,623
3807,Burrillville,Bo Llanos,375
3808,Mapleville,Flag Pond,290
3809,Newport,Morgan Heights,957
3810,Netc,Nat Aviation Fac Exp Ctr,592
3811,Middletown,Gordon,822
3812,Wickford,Odonnell Spur,24
3813,Davisville,Patrick,917
3814,N Kingstown,URB Palma Real,909
3815,North Kingstown,Office Of Naval Research,906
3816,Scituate,Sabin,688
3817,North Scituate,Vonore,528
3818,Glocester,Pembroke,365
3819,N Scituate,West Mifflin Century Mall,973
3820,Oakland,E Lancaster,765
3821,Burrillville,Crawfordville,44
3822,Pascoag,Nichols,860
3823,Glocester,Odell,993
3824,Pawtucket,Brodbecks,499
3825,Darlington,Schneiders Prairie,11
3826,Central Falls,Sawpit,832
3827,Cumberland,Dyer,458
3828,Lincoln,Hardwick,77
3829,Portsmouth,Norristown,809
3830,Prudence Island,Drakesburg,513
3831,Prudence Isl,Connellys Spg,734
3832,Rockville,Alexandria,142
3833,Saunderstown,Kingwood,927
3834,Richmond,Claycomo,204
3835,Shannock,Lemont Furnace,824
3836,Slatersville,Stirum,378
3837,Slocum,Blairs Mills,488
3838,Tiverton,Van Wert,775
3839,Green Hill,Brookhaven,801
3840,South Kingstown,Paseo Las Palmas,924
3841,Wakefield,Grant,353
3842,Jerusalem,La Prairie,259
3843,East Matunuck,Roman Forest,402
3844,S Kingstown,Steilacoom,536
3845,Peace Dale,Miami,218
3846,Narragansett,Nichols,29
3847,Matunuck,Laceys Spring,856
3848,Kingston,Al Power Co,553
3849,Bonnet Shores,Lehigh Valley,450
3850,Point Judith,Waltonville,102
3851,Narragansett,Wauna,272
3852,Galilee,York,737
3853,South Kingstown,Malad City,817
3854,Peace Dale,Turkey Run,560
3855,S Kingstown,Pleasant Vly,370
3856,Warren,Newhope,31
3857,Warwick,Ext Jard De Arroyo,566
3858,Conimicut,Lake Cable,938
3859,Westerly,Johns Island,933
3860,Watch Hill,New Columbia,138
3861,Misquamicut,Centreville,296
3862,South Kingstown,Tribbey,900
3863,West Kingston,Brownsville,444
3864,Richmond,Deodate,313
3865,W Warwick,Vista Del Atlantico,704
3866,West Warwick,Fort Yates,674
3867,Wood River Junction,Southport,615
3868,Wood River Jt,Christine,769
3869,Woonsocket,Bedford Hills,280
3870,N Smithfield,Corrona,749
3871,North Smithfield,Copperhill,125
3872,Wyoming,Endicott,949
3873,Richmond,Dir National Intelligence,596
3874,Providence,Seneca Corners,626
3875,Providence Journal,Tununak,451
3876,N Providence,Santa Rosa,360
3877,North Providence,Dietrich,865
3878,No Providence,Cedar Grove,826
3879,Cranston,Villa Del Rey 4,657
3880,Providence,Garrard,43
3881,Cranston,Lower Longswamp,750
3882,Providence,Goodview,842
3883,No Providence,E Walpole,289
3884,N Providence,Blowing Rock,590
3885,North Providence,Brownstown,769
3886,Centredale,South Gifford,747
3887,Centerdale,Curtis,793
3888,Brown University,Pocono Lake,321
3889,Brown Station,Bayboro,186
3890,E Providence,North Concord,86
3891,East Providence,Highgate,272
3892,Riverside,Clay City,848
3893,Rumford,Sealevel,530
3894,Smithfield,Xerox,44
3895,Esmond,North American Mg,415
3896,Friar Station,Ridge,521
3897,Providence College,Whiteville,110
3898,Johnston,Val Verde,465
3899,Providence,Blackwell,401
3900,Amherst,Navajo,551
3901,Auburn,Brecksville,178
3902,Brookline,Sunbury,536
3903,Candia,Kinder,65
3904,Chester,Kettle Falls,183
3905,Deerfield,Granada Hills,11
3906,Derry,Idlewild,216
3907,Londonderry,Florence,451
3908,E Candia,Carpio,759
3909,East Candia,West Middleton,165
3910,E Derry,P C Beach,628
3911,East Derry,Sugar Tree,317
3912,Epping,Emporia,13
3913,Francestown,Erlands Point,315
3914,Fremont,Central Valley,747
3915,Goffstown,Donaldson,672
3916,Dunbarton,Hendricks,496
3917,Greenfield,Ext San Martin,412
3918,Greenville,Arena,533
3919,Mason,Newton Ctr,326
3920,Hollis,Osceola Mills,774
3921,Hudson,Colinas De Cupey,504
3922,Litchfield,Willow Spgs,765
3923,Londonderry,Beach Park,233
3924,Merrimack,Repto Sobrino,282
3925,Milford,Dolan,276
3926,Mont Vernon,Gary,508
3927,Mt Vernon,Hathaway,701
3928,Mount Vernon,Norwood,506
3929,Nashua,Chromo,21
3930,New Boston,Ashtabula,588
3931,New Ipswich,Leadville,232
3932,N Salem,Upper Sugarloaf Key,16
3933,North Salem,Kunkletown,15
3934,No Salem,URB Rexmanor,902
3935,Pelham,Triangle,525
3936,Raymond,Wilmington Is,279
3937,Salem,Cherryvale,248
3938,Lyndeboro,Canyon Point,496
3939,Lyndeborough,Edgewood,402
3940,Temple,Kingston,619
3941,Wilton,Glidden,436
3942,Windham,Krakow,286
3943,Manchester,Miner,876
3944,Pinardville,Cuyahoga Heights,503
3945,Hooksett,Smithville,745
3946,Manchester,Pittsboro,63
3947,Nh Insurance,Troy,951
3948,Bedford,Yeagertwn,175
3949,Shared Firm Zip,Swiss Colony,462
3950,Waterville Vly,Weller,689
3951,Waterville Valley,Grant Valley,102
3952,Watervl Vly,Littleton,186
3953,Andover,Springfield,930
3954,Ashland,Cecil,54
3955,Barnstead,Le Mars,858
3956,Belmont,Clinton,981
3957,Bradford,Kattskill Bay,163
3958,Sutton,Houghton,368
3959,Bristol,Churchs Ferry,100
3960,Bridgewater,Fairfield Bay,892
3961,Alexandria,Woxall,255
3962,Thornton,Hazlehurst,878
3963,Ellsworth,Dawmont,487
3964,Campton,Solomon,968
3965,Canterbury,URB Romany Pk,710
3966,Ctr Barnstead,Boeing,984
3967,Center Barnstead,Anthony,748
3968,Center Harbor,Independence,593
3969,Centre Harbor,Tuthill,713
3970,Ctr Harbor,Mason,30
3971,Sandwich,Decorah,853
3972,Center Sandwich,Cherry Point Marine Corps Ai,997
3973,Ctr Sandwich,Beachmont,333
3974,Contoocook,Honey Grove,962
3975,Hopkinton,Forkston Township,679
3976,Danbury,Glouster,986
3977,E Andover,Barnett Township,407
3978,East Andover,Cajahs Mtn,309
3979,Elkins,Bloomingdales By Mail Ltd,192
3980,Epsom,Youngstown,395
3981,West Franklin,Lund,265
3982,W Franklin,Louisville,456
3983,Franklin,Bellvue,344
3984,Gilmanton,Temple,675
3985,Glencliff,Texhoma,804
3986,Grafton,Qvc Network Inc,466
3987,E Hebron,URB Prado Alto,54
3988,Groton,Clarinda,836
3989,East Hebron,Mount Moriah,782
3990,Hebron,Earlville,924
3991,Henniker,Knife River,774
3992,Hill,Paint Lick,222
3993,Hillsboro,Somerset,946
3994,Hillsborough,Hathaway,717
3995,Windsor,Bristol,885
3996,Deering,Flintville,319
3997,Holderness,Cowee,472
3998,Weirs Beach,Woodville,106
3999,Laconia,Pinon Canyon,226
4000,Lakeport,Worthington,211
4001,Gilford,Levi Strauss Evacuee Ctr,223
4002,Gilford,Pocatello,840
4003,Guilford,Terryville,746
4004,Lincoln,Shasta,532
4005,Lochmere,Dayton,555
4006,Meredith,Alligator Point,416
4007,Moultonborough,Intercession City,431
4008,Moultonboro,Falls Of Rough,380
4009,Mt Sunapee,Swedesboro,247
4010,Mount Sunapee,Lyburn,204
4011,Newbury,Dale,462
4012,New Hampton,Starks,378
4013,Sutton,Eau Claire,649
4014,New London,Relief,733
4015,Chichester,Honaunau,754
4016,North Chichester,Hartman,901
4017,N Sandwich,Polley,277
4018,North Sandwich,Mannsville,411
4019,N Sutton,Macedonia,158
4020,North Sutton,Wakonda,156
4021,Northwood,Central City,125
4022,N Woodstock,Prairie Home,68
4023,North Woodstock,China Lake,373
4024,Pittsfield,Grimes,231
4025,Bridgewater,Hobbs,943
4026,Plymouth,Biltmore Lake,365
4027,Ellsworth,Leonard,880
4028,Rumney,Chassell,77
4029,Dorchester,Hutchinson,629
4030,Groton,Union City,511
4031,Salisbury,Theodosia,279
4032,Sanbornton,South Seaville,589
4033,South Newbury,Edgar,302
4034,S Newbury,Harrington,287
4035,South Sutton,South Berwick,666
4036,S Sutton,Lake Lynn,839
4037,Stinson Lake,Blmngton Spgs,267
4038,Pembroke,Oakfield,37
4039,Allenstown,Pleasant Plains,1000
4040,Suncook,Wellfleet,26
4041,Tilton,Number One,130
4042,Northfield,Paint Mill Lake,372
4043,Sutton,Boiceville,671
4044,Warner,Huntington Ml,256
4045,Warren,Alex Bay,504
4046,Washington,Swengel,533
4047,Weare,Pacific Lutheran University,579
4048,Wentworth,Hennepin,227
4049,W Springfield,Bolton Valley,106
4050,West Springfield,Dearborn Heights,692
4051,Springfield,Salem,970
4052,Thornton,Jacksonville,484
4053,Wilmot Flat,Kirbyville,193
4054,Sutton,Skull Valley,117
4055,Wilmot,Mc Cormick,991
4056,Winnisquam,Saguache,110
4057,Nottingham,Clifford Township,528
4058,West Nottingham,Canova,732
4059,W Nottingham,Cowpens,173
4060,Woodstock,Milwaukee,738
4061,Brm J Jill,Wesson,762
4062,J Jill,Glens Fork,259
4063,Concord,Sheelite,82
4064,Boscawen,Huguenot,10
4065,Penacook,Gowanda,661
4066,Webster,Heidrick,201
4067,Bow,Burningtown,253
4068,Nh Dept Of Safety,Clifford,94
4069,Loudon,Pollocksville,496
4070,North Swanzey,URB Veredas,409
4071,Roxbury,Virner,772
4072,N Swanzey,Sloan,937
4073,Surry,Lone Tree,928
4074,Keene,Merion Park,978
4075,Keene State College,Dayton Lakes,866
4076,Antrim,Bellmawr,152
4077,Ashuelot,Olmstead,497
4078,Bennington,Monetta,819
4079,Chesterfield,Sligo,947
4080,Dublin,Rock Creek,591
4081,Sullivan,Balsam,551
4082,Nelson,New Liberty,951
4083,E Sullivan,Asw Training Ctr,196
4084,East Sullivan,Hobart,566
4085,Swanzey Ctr,Skaneateles Falls,321
4086,East Swanzey,International Masters Pub,835
4087,E Swanzey,Res Barinas,940
4088,Swanzey,Cordova,708
4089,Swanzey Center,Roxbury,763
4090,Fitzwilliam,Avon,444
4091,Gilsum,Shady Glen,846
4092,Hancock,Cedar Hill,420
4093,Harrisville,Glen Ridge,147
4094,Hinsdale,Coatopa,736
4095,Jaffrey,Sims,333
4096,Marlborough,Weston,74
4097,Marlow,Fredonia,365
4098,Stoddard,Canyon City,60
4099,Munsonville,Trinity,459
4100,Nelson,URB Los Arboles,640
4101,Sharon,Mccoll,450
4102,Peterborough,Kirkland,573
4103,Rindge,Leamington,566
4104,Spofford,Nantasket Beach,26
4105,Stoddard,Bethany,432
4106,Troy,Fort Thomas,477
4107,W Chesterfield,Oreland,408
4108,West Chesterfield,Oxly,24
4109,W Chesterfld,Saint James,611
4110,Westmoreland,Punta Santiago,594
4111,W Peterboro,Bacon Hill,597
4112,West Peterborough,Broadmoor,778
4113,W Peterborough,Sorters,807
4114,W Swanzey,Oreville,30
4115,West Swanzey,Frame,712
4116,Winchester,Westby,409
4117,Richmond,Absecon Highlands,865
4118,Littleton,Cucumber,106
4119,Berlin,K U Med Center,777
4120,Bethlehem,Himrod,501
4121,Bretton Woods,South Wardsboro,64
4122,Columbia,Firm Zip,680
4123,Stewartstown,Elkin,147
4124,Dixville,Billstown,519
4125,Dixville Notch,Kensington,100
4126,Colebrook,Pleasant Lake,45
4127,Errol,Millford,8
4128,Wentworths Location,Daytona Beach Shores,842
4129,Wntwrths Lctn,Belleview,783
4130,Easton,Kilauea,284
4131,Franconia,Pulleys Mill,701
4132,Gorham,Trout Lake,550
4133,Shelburne,Bristol,901
4134,Groveton,Flicksville,925
4135,Northumberlnd,Riverton,361
4136,Stark,Ripley,114
4137,Northumberland,Cranberry,275
4138,Jefferson,Windy Gap,425
4139,Northumberland,N Chesterfld,233
4140,Northumberland,Mapleton,799
4141,Lancaster,Raymond,944
4142,Lisbon,Songer,864
4143,Landaff,Dunwoody,34
4144,Lyman,Magnetic Spring,917
4145,Sugar Hill,Laguna Woods,620
4146,Milan,Carpenter,360
4147,Dummer,Sagerton,774
4148,Mt Washington,URB Monte Claro,77
4149,Mount Washington,Colvin,35
4150,No Stratford,Floyd Dale,970
4151,North Stratford,Palmer,341
4152,Columbia,Hollywood,979
4153,Stratford,Ball State Univ,631
4154,N Stratford,Toledo,304
4155,Clarksville,Kiona,815
4156,Pittsburg,S Wales,75
4157,Randolph,Gaither,186
4158,Twin Mountain,Picatinny Arsenal,854
4159,W Stewartstown,Athol,305
4160,W Stewartstwn,Claytonville,729
4161,West Stewartstown,Mustang,19
4162,Carroll,Cushing,52
4163,Dalton,Clarence,546
4164,Whitefield,Blackfoot,5
4165,Acworth,Comm Tech Uses Copyrights,298
4166,East Alstead,Colinas View,146
4167,Alstead Center,W Wareham,197
4168,Alstead,North Scranton,592
4169,Langdon,Borough Hall,388
4170,Charlestown,Panorama,143
4171,Unity,Wakonda,875
4172,Drewsville,Clay Hill,977
4173,E Lempster,Crossnore,183
4174,East Lempster,Dellwood,90
4175,Lempster,Rossville,402
4176,So Acworth,Spencer Mountain,677
4177,S Acworth,Frontenac,110
4178,South Acworth,Steele,484
4179,Walpole,Kelmont East,871
4180,North Walpole,Parc Susua,129
4181,No Walpole,Caruthersvlle,319
4182,N Walpole,Mount Eaton,176
4183,Bath,Lewis,186
4184,Canaan,N Georgetown,565
4185,Orange,Sun City,46
4186,Claremont,Northern Arizona University,727
4187,Unity,Langford,45
4188,Cornish,Indian Lake,106
4189,Cornish Flat,Lawton,844
4190,Enfield,Heshbon Park,79
4191,Enfield Center,Opal,721
4192,Enfield Ctr,Dept Justice,450
4193,Etna,Essary Springs,254
4194,Georges Mills,Jp Morgan Chase,564
4195,Goshen,Grassy,393
4196,Grantham,Maynard,248
4197,Guild,Veterans Hospital,457
4198,Hanover,Mayfield,436
4199,Dartmouth Hitchcock Med Ctr,Lititz,542
4200,Lebanon,Mount Pleasant,11
4201,Haverhill,Moriah Center,349
4202,Lyme,Volente,634
4203,Lyme Center,Atwood,456
4204,Meriden,La Puente,286
4205,Monroe,Glendale,518
4206,Croydon,Odell,678
4207,Unity,Mountainside,889
4208,Newport,Harbor Spgs,645
4209,North Haverhill,Scammon,38
4210,N Haverhill,Houtzdale,635
4211,No Haverhill,Lucas,674
4212,Orford,Clontarf,91
4213,Piermont,Rochester Mls,480
4214,Benton,Norfolk,270
4215,Pike,Hazleton,702
4216,Plainfield,National City Bank,22
4217,Sunapee,Hovenweep National Monument,247
4218,W Lebanon,Ridgely,493
4219,West Lebanon,Newfoundland,95
4220,Benton,Pelican Bay,432
4221,Landaff,Newton,628
4222,Easton,Balkan,675
4223,Woodsville,Sulphur Springs,810
4224,Newington,Virginia,701
4225,Portsmouth,Mc Callsburg,897
4226,Air National Guard,Inguadona,114
4227,Portsmouth,Hebron,652
4228,Newington,Middle Creek,425
4229,Alton,Crawfordsvlle,568
4230,West Alton,Wilkinsburg,919
4231,Alton Bay,Cloudland,900
4232,Atkinson,Sabin,785
4233,Harts Location,Bruce Xing,9
4234,Harts Lctn,Weyers Cave,65
4235,Bartlett,W Jordan,509
4236,North Chatham,Brunswick,211
4237,Chatham,Sarepta,550
4238,South Chatham,Bellefontaine,931
4239,Center Conway,Au Sable Chasm,507
4240,Center Ossipee,Lucas,213
4241,Ctr Ossipee,West Rushville,901
4242,Ctr Strafford,Lagunitas,590
4243,Center Strafford,Capitol View,550
4244,Ctr Tuftnboro,Salina,525
4245,Center Tuftonboro,Woodford,360
4246,Tuftonboro,Gordonsville,865
4247,Ctr Tuftonboro,Rincon,763
4248,Chocorua,West Turin,297
4249,Conway,Greenwood,937
4250,Albany,Francis Place,501
4251,So Danville,Effie,791
4252,S Danville,Ravenden,552
4253,South Danville,Spring Valley,629
4254,Danville,Empire,607
4255,Dover,Mendon,566
4256,Liberty Mutual Insurance,Hamilton,581
4257,Madbury,Deutsche Bank,975
4258,Lee,Modena,529
4259,Durham,Sudith,835
4260,Barrington,St Petersburg,174
4261,East Hampstead,Du Bois,689
4262,E Hampstead,Zaleski,456
4263,East Kingston,Labarge,758
4264,S Hampton,Chicago Park,815
4265,So Hampton,Winston,213
4266,South Hampton,Olive Branch,159
4267,E Kingston,Leech Lake,751
4268,Wakefield,Springville,426
4269,E Wakefield,Rich Square,407
4270,East Wakefield,Porter,262
4271,Eaton,Repto Contemporaneo,159
4272,Eaton Ctr,Oglala,79
4273,Eaton Center,Parc Magueyes,617
4274,Brentwood,Lancaster,870
4275,Kensington,Saundersville,768
4276,Exeter,North Bend,964
4277,Farmington,Leopold,801
4278,Freedom,Rosebud,365
4279,Gilmanton Iron Works,Godley,660
4280,Gilmanton Iw,URB Myrlena,893
4281,Glen,Morgan Mill,680
4282,Rochester,Shelby,948
4283,Gonic,Poultney,931
4284,Greenland,Devon,94
4285,Hampstead,Forsyth,185
4286,Hampton,Lincklaen,252
4287,Hampton Beach,Dialion,216
4288,Hampton Falls,Hallowell,947
4289,Intervale,Dike,916
4290,Jackson,East Providence,101
4291,Kearsarge,Drexel,547
4292,Kingston,El Dara,936
4293,Madison,Bonlee,424
4294,Melvin Vlg,Rome,528
4295,Melvin Village,Ukiah,294
4296,Milton,Panora,495
4297,Milton Mills,Helvetia,365
4298,Mirror Lake,Lebanon Spg,503
4299,New Castle,Maybee,359
4300,Newcastle,Magalia,744
4301,New Durham,Beaver Lake,190
4302,Newfields,Brownstwn Twp,96
4303,Newmarket,Keystone Heights,277
4304,Newton,New Ashford,152
4305,Newton Jct,Huntsville Utilities,54
4306,Newton Junction,Monument Beach,872
4307,No Conway,Caguas,903
4308,Hales Location,Boles,762
4309,Hales Lctn,Gwynedd,740
4310,N Conway,Westford,528
4311,North Conway,Headland,57
4312,Lee,Cna Center,324
4313,N Hampton,Manchester,24
4314,North Hampton,Hidden Valley Lake,338
4315,No Hampton,Valmy,145
4316,Ossipee,Breckenridge,631
4317,Plaistow,Weston,528
4318,East Rochester,Granite,412
4319,E Rochester,Redstone Central,472
4320,Rollinsford,Edinburg,400
4321,Rye,Columbus,728
4322,Rye Beach,Rantoul,345
4323,Brookfield,Bethlehem,648
4324,Sanbornville,Meridian,764
4325,Sandown,Mount Hulda,913
4326,Seabrook,Farmington,717
4327,Silver Lake,Powell,748
4328,Somersworth,Greenland Beach,640
4329,South Effingham,Big Creek,37
4330,S Effingham,Williamsburg,315
4331,Effingham,Wellington,18
4332,So Effingham,Renfrew,897
4333,So Tamworth,Emerson,371
4334,South Tamworth,Pecatonica,449
4335,S Tamworth,Mullett Lake,80
4336,Strafford,Alpine,574
4337,Stratham,Koleen,545
4338,Tamworth,Sullivan,127
4339,Middleton,Freeport,530
4340,Union,Lantrip,633
4341,W Ossipee,Versailles,199
4342,West Ossipee,St James,880
4343,Wolfeboro,Fulton,520
4344,Tuftonboro,North Hanover,805
4345,Wolfeboro Falls,Cartersville,880
4346,Wolfeboro Fls,Ricard,926
4347,Wonalancet,Tina,758
4348,Berwick,Waynesburg,410
4349,Cape Neddick,Valley Village,256
4350,Eliot,West Nyack,924
4351,Kittery,Delft,71
4352,Kittery Point,Huntly,10
4353,No Berwick,Vinton,996
4354,North Berwick,Conroe,96
4355,N Berwick,URB Miraflores,266
4356,Ogunquit,Randolph,49
4357,S Berwick,Peell,760
4358,South Berwick,Danevang,107
4359,So Berwick,Charlestown,421
4360,York,Chatawa,567
4361,York Beach,Mohawk,541
4362,York Harbor,Argenta,176
4363,Acton,Beach Lake,813
4364,Lyman,Ala Coushatta Ind Res,673
4365,Alfred,Pekin,358
4366,Bailey Island,Pharr,565
4367,Bar Mills,Mount Crawford,405
4368,Dayton,Friend,144
4369,Biddeford,Pilar,994
4370,Biddeford Pool,Patch Leg,866
4371,Biddeford Pl,Walker,495
4372,Bowdoinham,Malta Ridge,363
4373,Bridgton,North Falmouth,453
4374,Brownfield,Whitfield,305
4375,Cundys Harbor,Giard,939
4376,Birch Island,Mcclanahan,608
4377,Nas Brunswick,Roxbury,876
4378,Mere Point,Radnor,272
4379,Brunswick,Silver Point,939
4380,South Freeport,Manchester,536
4381,Bustins Island,Myrtle,241
4382,Bustins Is,Doak Springs,441
4383,S Freeport,Jefferson,821
4384,Cape Porpoise,Hadley,124
4385,Casco,Turkey,428
4386,Center Lovell,Mount Merion Park,826
4387,Chebeague Island,Fountain,979
4388,Chebeague Is,Adamstown,372
4389,Cliff Island,Blue Ball,851
4390,Cornish,Pleasant Ridge,395
4391,Cumberland,Longtown,315
4392,Cumberlnd Ctr,North Bloomfield,500
4393,Cumberland Center,Villas De San Cristobal,97
4394,Denmark,Mesopotamia,15
4395,East Baldwin,Huntsville,165
4396,Lebanon,Limon Correctional Fac,165
4397,East Parsonsfield,Mount Patrick,180
4398,E Parsonfield,Lamar,791
4399,Sebago,New Helena,407
4400,E Sebago,Devon,454
4401,East Sebago,URB Islazul,771
4402,E Waterboro,Peterson,185
4403,East Waterboro,Internal Revenue Service,517
4404,Freeport,Ironton,854
4405,Ll Bean Co,Oakland,907
4406,N Fryeburg,New Albany,266
